"";"X";"Start.Time";"End.Time";"Trip.Duration";"Start.Station";"End.Station";"User.Type";"Gender";"Age";"city"
"80";2004051;"2017-03-23 10:19:35";"2017-03-23 10:28:20";524;"1 Ave & E 16 St";"E 16 St & 5 Ave";"Subscriber";"Male";36;"ny"
"81";1377740;"2017-02-24 19:50:28";"2017-02-24 20:16:20";1551;"Reade St & Broadway";"E 10 St & Avenue A";"Subscriber";"Male";29;"ny"
"82";6738778;"2017-06-29 18:06:06";"2017-06-29 18:10:30";263;"E 16 St & 5 Ave";"Greenwich Ave & 8 Ave";"Subscriber";"Male";36;"ny"
"83";3479649;"2017-04-29 13:01:09";"2017-04-29 13:06:02";292;"Barclay St & Church St";"South End Ave & Liberty St";"Subscriber";"Male";40;"ny"
"84";6067227;"2017-06-18 13:36:24";"2017-06-18 14:10:33";2048;"E 33 St & 2 Ave";"Cherry St";"Subscriber";"Male";78;"ny"
"85";5888144;"2017-06-14 20:52:37";"2017-06-14 21:08:08";930;"Broadway & Roebling St";"Milton St & Franklin St";"Subscriber";"Female";31;"ny"
"86";2491986;"2017-04-08 11:42:16";"2017-04-08 11:45:38";202;"Adelphi St & Myrtle Ave";"DeKalb Ave & S Portland Ave";"Subscriber";"Male";30;"ny"
"87";6407126;"2017-06-24 13:21:06";"2017-06-24 13:58:19";2232;"Bergen St & Smith St";"Bedford Ave & Nassau Ave";"Subscriber";"Male";43;"ny"
"88";6392474;"2017-06-24 02:40:21";"2017-06-24 02:46:41";379;"11 Ave & W 41 St";"8 Ave & W 33 St";"Subscriber";"Male";46;"ny"
"89";4276054;"2017-05-15 20:50:01";"2017-05-15 20:56:55";413;"University Pl & E 8 St";"E 11 St & 2 Ave";"Subscriber";"Female";55;"ny"
"90";2759514;"2017-04-13 17:42:24";"2017-04-13 17:45:49";205;"Broadway & W 58 St";"8 Ave & W 52 St";"Subscriber";"Male";39;"ny"
"91";2401586;"2017-04-05 12:49:30";"2017-04-05 12:51:47";137;"Broadway & W 58 St";"Broadway & W 53 St";"Subscriber";"Female";24;"ny"
"92";5820513;"2017-06-13 19:00:22";"2017-06-13 19:02:56";153;"Barrow St & Hudson St";"Greenwich St & W Houston St";"Subscriber";"Female";21;"ny"
"93";5480048;"2017-06-08 07:03:04";"2017-06-08 07:12:24";560;"Forsyth St & Broome St";"Carmine St & 6 Ave";"Subscriber";"Female";59;"ny"
"94";1951218;"2017-03-21 16:15:27";"2017-03-21 16:23:20";472;"Lafayette St & E 8 St";"E 2 St & Avenue C";"Subscriber";"Female";24;"ny"
"95";3005402;"2017-04-18 16:49:19";"2017-04-18 16:54:54";334;"W 45 St & 8 Ave";"W 44 St & 5 Ave";"Subscriber";"Male";36;"ny"
"96";4212374;"2017-05-14 16:38:55";"2017-05-14 16:43:00";245;"Bond St & Bergen St";"Dean St & 4 Ave";"Subscriber";"Male";36;"ny"
"97";2697880;"2017-04-12 16:07:26";"2017-04-12 16:33:39";1573;"Mott St & Prince St";"E 51 St & 1 Ave";"Subscriber";"Female";46;"ny"
"98";4393538;"2017-05-17 18:26:55";"2017-05-17 18:35:40";525;"W 92 St & Broadway";"W 76 St & Columbus Ave";"Subscriber";"Male";72;"ny"
"99";3893488;"2017-05-07 18:20:24";"2017-05-07 18:42:53";1349;"8 Ave & W 52 St";"5 Ave & E 88 St";"Subscriber";"Male";30;"ny"
"100";1811390;"2017-03-10 08:27:48";"2017-03-10 08:32:02";253;"E 24 St & Park Ave S";"Broadway & E 14 St";"Subscriber";"Male";47;"ny"
"101";389272;"2017-01-19 07:34:42";"2017-01-19 07:42:06";444;"Broadway & W 36 St";"W 52 St & 6 Ave";"Subscriber";"Male";41;"ny"
"102";4666273;"2017-05-23 06:59:22";"2017-05-23 07:22:58";1416;"Central Park West & W 102 St";"E 48 St & 5 Ave";"Subscriber";"Female";63;"ny"
"103";3241064;"2017-04-24 06:31:16";"2017-04-24 06:56:05";1488;"W 42 St & Dyer Ave";"Liberty St & Broadway";"Subscriber";"Male";58;"ny"
"104";4287006;"2017-05-16 08:03:21";"2017-05-16 08:37:29";2048;"Clinton St & Joralemon St";"E 47 St & 2 Ave";"Subscriber";"Male";49;"ny"
"105";2971954;"2017-04-17 23:11:49";"2017-04-17 23:16:22";272;"University Pl & E 8 St";"E 15 St & 3 Ave";"Subscriber";"Male";28;"ny"
"106";5902394;"2017-06-15 08:17:03";"2017-06-15 08:26:56";593;"Cooper Square & E 7 St";"8 Ave & W 16 St";"Subscriber";"Male";30;"ny"
"107";3079483;"2017-04-20 10:00:58";"2017-04-20 10:21:01";1203;"Broadway & W 24 St";"W 52 St & 5 Ave";"Subscriber";"Male";60;"ny"
"108";6356851;"2017-06-23 12:01:36";"2017-06-23 12:40:38";2341;"Central Park S & 6 Ave";"9 Ave & W 22 St";"Customer";"";NA;"ny"
"109";6437349;"2017-06-24 20:40:53";"2017-06-24 21:05:37";1484;"Clinton St & Grand St";"Forsyth St & Broome St";"Subscriber";"Male";41;"ny"
"110";4015168;"2017-05-10 08:08:06";"2017-05-10 08:24:03";956;"W 13 St & Hudson St";"Vesey Pl & River Terrace";"Subscriber";"Male";61;"ny"
"111";6417471;"2017-06-24 15:38:10";"2017-06-24 15:44:13";362;"Cherry St";"Allen St & Hester St";"Subscriber";"Female";54;"ny"
"112";6158567;"2017-06-20 12:06:43";"2017-06-20 12:17:18";635;"E 31 St & 3 Ave";"W 38 St & 8 Ave";"Subscriber";"Male";29;"ny"
"113";4742346;"2017-05-24 11:32:50";"2017-05-24 11:42:58";607;"1 Ave & E 68 St";"2 Ave & E 96 St";"Subscriber";"Male";53;"ny"
"114";1214745;"2017-02-20 17:42:58";"2017-02-20 18:13:51";1852;"Bus Slip & State St";"Bus Slip & State St";"Customer";"";NA;"ny"
"115";3071010;"2017-04-19 22:35:19";"2017-04-19 22:56:01";1242;"E 6 St & Avenue B";"8 Ave & W 31 St";"Customer";"Male";24;"ny"
"116";2767253;"2017-04-13 19:04:52";"2017-04-13 19:21:29";997;"Duane St & Greenwich St";"W 22 St & 10 Ave";"Subscriber";"Male";41;"ny"
"117";1873353;"2017-03-13 17:35:41";"2017-03-13 17:56:59";1278;"W Broadway & Spring St";"11 Ave & W 27 St";"Subscriber";"Male";43;"ny"
"118";6335267;"2017-06-22 23:18:22";"2017-06-22 23:42:26";1443;"Greenwich Ave & 8 Ave";"E 23 St & 1 Ave";"Subscriber";"Female";24;"ny"
"119";4824502;"2017-05-26 14:03:32";"2017-05-26 14:24:49";1276;"Kent Ave & N 7 St";"N 6 St & Bedford Ave";"Customer";"";NA;"ny"
"120";5213563;"2017-06-02 20:34:59";"2017-06-02 20:39:32";273;"University Pl & E 8 St";"W 4 St & 7 Ave S";"Subscriber";"Male";35;"ny"
"121";1578361;"2017-03-02 15:21:31";"2017-03-02 15:25:00";209;"Sands St & Navy St";"York St & Jay St";"Subscriber";"Male";37;"ny"
"122";378557;"2017-01-18 18:24:36";"2017-01-18 18:46:42";1325;"Rivington St & Ridge St";"Montrose Ave & Bushwick Ave";"Subscriber";"Female";34;"ny"
"123";1759669;"2017-03-08 20:42:12";"2017-03-08 20:44:49";156;"E 91 St & Park Ave";"E 88 St & Park Ave";"Subscriber";"Male";33;"ny"
